dataset,model,strategy,display_strategy,budget,seeds,seed_count,ASR_at_budget,UnsafeFunctional_at_budget,RawVulnerable_at_budget,FunctionalRate_at_budget,Q_at_success,AvgQueries,AvgQueriesPerTask,AULC,metric_note
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,classical_boundary_witness_comment,Classical Boundary Witness,8,"7,19,31,43,59",5,0.8330578512396695,0.8330578512396695,0.8347107438016529,1.0,2.2727740601190973,390.8,3.229752066115702,0.8611570247933885,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,classical_boundary_witness_comment,Classical Boundary Witness,16,"7,19,31,43,59",5,0.9719008264462812,0.9719008264462812,0.9719008264462812,1.0,3.3349549853386167,446.8,3.6925619834710743,0.8611570247933885,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,fair_random_comment,Random Search,4,"7,19,31,43,59",5,0.6859504132231404,0.6859504132231404,0.6892561983471074,1.0,1.527566168009206,279.0,2.3057851239669422,0.8016528925619836,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,fair_random_comment,Random Search,8,"7,19,31,43,59",5,0.771900826446281,0.771900826446281,0.7785123966942149,1.0,2.0593279551462245,413.6,3.418181818181818,0.8016528925619836,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,fair_random_comment,Random Search,16,"7,19,31,43,59",5,0.9041322314049587,0.9041322314049587,0.9107438016528926,1.0,3.4440328396969813,563.0,4.652892561983471,0.8016528925619836,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,fair_risk_prior_comment,Risk Prior,4,"7,19,31,43,59",5,0.6528925619834711,0.6528925619834711,0.6528925619834711,1.0,1.3721518987341772,276.4,2.2842975206611573,0.7168044077134986,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,fair_risk_prior_comment,Risk Prior,8,"7,19,31,43,59",5,0.6991735537190082,0.6991735537190082,0.7074380165289256,1.0,1.7255742296918768,437.2,3.6132231404958675,0.7168044077134986,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,fair_risk_prior_comment,Risk Prior,16,"7,19,31,43,59",5,0.7752066115702478,0.7752066115702478,0.7834710743801654,1.0,2.833584991992679,701.0,5.793388429752065,0.7168044077134986,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,4,"7,19,31,43,59",5,0.631404958677686,0.631404958677686,0.631404958677686,1.0,1.2826042378673956,276.4,2.284297520661157,0.734435261707989,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,8,"7,19,31,43,59",5,0.7239669421487605,0.7239669421487605,0.7322314049586778,1.0,1.9313740856844306,436.4,3.6066115702479338,0.734435261707989,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
