artifact_group,dataset,model,budget,strategy,task_rows,effective_rows,vulnerable_rows,functional_rows,effective_rate,vulnerable_nonfunctional_rate,functional_not_vulnerable_rate,neither_rate,mean_attempts,mean_attempt_to_success,first_attempt_success_rate
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qscout_qbw_comment,605,593,593,605,0.9801652892561984,0.0,0.019834710743801654,0.0,2.4446280991735536,2.3322091062394605,0.5190082644628099
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,aot_ensemble_fixed_pool_comment,605,511,514,605,0.8446280991735537,0.0,0.15041322314049588,0.0,5.214876033057851,3.2309197651663406,0.5190082644628099
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,classical_boundary_witness_comment,605,588,588,605,0.971900826446281,0.0,0.02809917355371901,0.0,3.6925619834710743,3.336734693877551,0.49586776859504134
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,fair_random_comment,605,547,551,605,0.9041322314049587,0.0,0.08925619834710743,0.0,4.652892561983471,3.449725776965265,0.4512396694214876
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,fair_risk_prior_comment,605,469,474,605,0.775206611570248,0.0,0.21652892561983472,0.0,5.793388429752066,2.833688699360341,0.5206611570247934
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,insec_fixed_pool_comment,605,485,490,605,0.8016528925619835,0.0,0.19008264462809918,0.0,5.472727272727273,2.868041237113402,0.48760330578512395
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qscout_qbw_comment,605,605,605,605,1.0,0.0,0.0,0.0,2.628099173553719,2.628099173553719,0.49586776859504134
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,aot_ensemble_fixed_pool_comment,605,428,428,605,0.7074380165289256,0.0,0.29256198347107437,0.0,2.3173553719008266,1.6214953271028036,0.46611570247933887
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,classical_boundary_witness_comment,605,443,443,605,0.7322314049586777,0.0,0.26776859504132233,0.0,2.2694214876033056,1.636568848758465,0.5140495867768595
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,fair_random_comment,605,412,414,605,0.6809917355371901,0.0,0.315702479338843,0.0,2.3057851239669422,1.5121359223300972,0.4512396694214876
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,fair_risk_prior_comment,605,422,422,605,0.6975206611570248,0.0,0.30247933884297523,0.0,2.2380165289256198,1.4739336492890995,0.5206611570247934
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,insec_fixed_pool_comment,605,386,386,605,0.6380165289256199,0.0,0.36198347107438017,0.0,2.3487603305785125,1.4119170984455958,0.48760330578512395
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,qscout_qbw_comment,605,545,545,605,0.9008264462809917,0.0,0.09917355371900827,0.0,2.2198347107438017,2.0238532110091745,0.5305785123966942
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,aot_ensemble_fixed_pool_comment,605,494,494,605,0.8165289256198347,0.0,0.1834710743801653,0.0,3.2793388429752066,2.2186234817813766,0.46611570247933887
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,classical_boundary_witness_comment,605,523,523,605,0.8644628099173554,0.0,0.13553719008264462,0.0,3.1537190082644626,2.3938814531548758,0.512396694214876
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,fair_random_comment,605,481,481,605,0.7950413223140496,0.0,0.2049586776859504,0.0,3.3570247933884296,2.1600831600831603,0.47107438016528924
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,fair_risk_prior_comment,605,480,480,605,0.7933884297520661,0.0,0.2066115702479339,0.0,3.2925619834710744,2.066666666666667,0.5206611570247934
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,insec_fixed_pool_comment,605,477,477,605,0.7884297520661157,0.0,0.2115702479338843,0.0,3.5702479338842976,2.3815513626834384,0.48760330578512395
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,qscout_qbw_comment,605,600,600,605,0.9917355371900827,0.0,0.008264462809917356,0.0,2.4446280991735536,2.3983333333333334,0.5289256198347108
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,aot_ensemble_fixed_pool_comment,605,530,530,605,0.8760330578512396,0.0,0.12396694214876033,0.0,4.575206611570248,2.9584905660377356,0.47768595041322315
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,classical_boundary_witness_comment,605,593,593,605,0.9801652892561984,0.0,0.019834710743801654,0.0,3.2925619834710744,3.0354131534569984,0.5223140495867769
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,fair_random_comment,605,570,570,605,0.9421487603305785,0.0,0.05785123966942149,0.0,4.051239669421488,3.3175438596491227,0.48760330578512395
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,fair_risk_prior_comment,605,502,502,605,0.8297520661157025,0.0,0.17024793388429751,0.0,4.8148760330578515,2.5199203187250996,0.5206611570247934
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,insec_fixed_pool_comment,605,515,515,605,0.8512396694214877,0.0,0.1487603305785124,0.0,4.953719008264462,3.0233009708737866,0.48760330578512395
main,securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,qscout_qbw_comment,605,605,605,605,1.0,0.0,0.0,0.0,2.512396694214876,2.512396694214876,0.5388429752066116
